application,charmer
anssr-analytics,spiculecharms
anssr-data-engine,spiculecharms
anssr-hadoop,spiculecharms
aodh,gnuoy
aodh,james-page
aodh,openstack-charmers
aodh,openstack-charmers-next
aodh,thedac
aodh,xavpaice
aodh-sf00182054,xavpaice
apache-drill,spiculecharms
apache-openid,apache-openid-charmers
apache-solr,spiculecharms
apache2,apache2-charmers
arangodb,tengu-team
autocert,autocert-charmers
automate-spark-jobs,tengu-team
aws,containers
aws,johnsca
aws-elb,omnivector
aws-integrator,containers
azure-integrator,containers
barbican,james-page
barbican,openstack-charmers
barbican,openstack-charmers-next
barbican-softhsm,openstack-charmers
barbican-softhsm,openstack-charmers-next
basic-auth-service,landscape
bcache-tuning,james-page
calico,containers
calico,cynerva
calico,kos.tsakalozos
calico,ryeterrell
calico,wiilink
canal,containers
canal,cynerva
canal,kos.tsakalozos
canal,ryeterrell
canonical-kubernetes,containers
canonical-kubernetes-canal,containers
canonical-kubernetes-elastic,containers
canonical-kubernetes-nvidia,containers
canonical-livepatch,livepatch-charmers
cassandra,cassandra-charmers
ceilometer,csd-garr
ceilometer,gnuoy
ceilometer,james-page
ceilometer,openstack-charmers
ceilometer,openstack-charmers-next
ceilometer,thedac
ceilometer,xavpaice
ceilometer-agent,james-page
ceilometer-agent,openstack-charmers
ceilometer-agent,openstack-charmers-next
ceph,chris.sanders
ceph,openstack-charmers
ceph,openstack-charmers-next
ceph-base,openstack-charmers
ceph-base-bionic-luminous,openstack-charmers-next
ceph-base-xenial-jewel,openstack-charmers-next
ceph-base-xenial-luminous,openstack-charmers-next
ceph-fs,chris.sanders
ceph-fs,james-page
ceph-fs,openstack-charmers
ceph-fs,openstack-charmers-next
ceph-lxd,szeestraten
ceph-mon,chris.sanders
ceph-mon,james-page
ceph-mon,openstack-charmers
ceph-mon,openstack-charmers-next
ceph-osd,chris.macnaughton
ceph-osd,chris.sanders
ceph-osd,csd-garr
ceph-osd,james-page
ceph-osd,openstack-charmers
ceph-osd,openstack-charmers-next
ceph-osd-aa-fixes,james-page
ceph-osd-bug1783308,james-page
ceph-osd-udev-fixes,james-page
ceph-proxy,openstack-charmers
ceph-proxy,openstack-charmers-next
ceph-radosgw,openstack-charmers
ceph-radosgw,openstack-charmers-next
charms-clamav,yoshikadokawa
charmscaler,elastisys
chronograf,tengu-team
cinder,gnuoy
cinder,james-page
cinder,openstack-charmers
cinder,openstack-charmers-next
cinder,thedac
cinder-backup,openstack-charmers
cinder-backup,openstack-charmers-next
cinder-ceph,openstack-charmers
cinder-ceph,openstack-charmers-next
cinder-netapp,mskalka
cinder-proxy-header,james-page
cinder-storpool,openstack-dev-s
cinder-three-par,mskalka
cinder-vnx-fc,adriancampos
cloudkitty-charm,adriancampos
conda,omnivector
congress,gnuoy
contrail-analytics,sdn-charmers
contrail-configuration,sdn-charmers
contrail-control,sdn-charmers
contrail-webui,sdn-charmers
controller-aws,tengu-team
controller-azure,tengu-team
controller-google,tengu-team
couchpotato,chris.sanders
cplane-controller,cplane-team
cplane-msm,cplane-team
cplane-msm-oracle,cplane-team
cplane-msm-oracle-ha,cplane-team
cplane-msm-oracle-rac,cplane-team
cplane-msm-oracle12c-single,cplane-team
cplane-neutron-ovs-controller-with-ogr-node,cplane-team
cplane-neutron-ovs-controller-with-ogr-node-oracle,cplane-team
cplane-neutron-ovs-controller-with-ogr-node-oracle-rac,cplane-team
