application,charmer
anssr-analytics,1
anssr-data-engine,2
anssr-hadoop,3
aodh,46
aodh-sf00182054,1
apache-drill,117
apache-openid,2
apache-solr,1
apache2,4
arangodb,1
autocert,16
automate-spark-jobs,2
aws,8
aws-elb,4
aws-integrator,6
azure-integrator,2
barbican,26
barbican-softhsm,17
basic-auth-service,12
bcache-tuning,10
calico,175
canal,154
canonical-kubernetes,153
canonical-kubernetes-canal,148
canonical-kubernetes-elastic,129
canonical-kubernetes-nvidia,10
canonical-livepatch,14
cassandra,16
ceilometer,51
ceilometer-agent,28
ceph,4
ceph-base,4
ceph-base-bionic-luminous,4
ceph-base-xenial-jewel,2
ceph-base-xenial-luminous,2
ceph-fs,23
ceph-lxd,2
ceph-mon,61
ceph-osd,168
ceph-osd-aa-fixes,1
ceph-osd-bug1783308,5
ceph-osd-udev-fixes,2
ceph-proxy,24
ceph-radosgw,26
charms-clamav,2
charmscaler,1
chronograf,1
cinder,59
cinder-backup,23
cinder-ceph,30
cinder-netapp,1
cinder-proxy-header,1
cinder-storpool,12
cinder-three-par,12
cinder-vnx-fc,1
cloudkitty-charm,1
conda,8
congress,1
contrail-analytics,1
contrail-configuration,1
contrail-control,1
contrail-webui,1
controller-aws,1
controller-azure,3
controller-google,2
couchpotato,3
cplane-controller,16
cplane-msm,1
cplane-msm-oracle,1
cplane-msm-oracle-ha,1
cplane-msm-oracle-rac,1
cplane-msm-oracle12c-single,1
cplane-neutron-ovs-controller-with-ogr-node,1
cplane-neutron-ovs-controller-with-ogr-node-oracle,1
cplane-neutron-ovs-controller-with-ogr-node-oracle-rac,1
cplane-neutron-ovs-controller-with-ogr-node-oracle12c-single,1
cqlsh,3
create-custom-data-flows,2
datadog-agent,7
defaultgw,4
designate,63
designate-bind,31
designate-neutron-dns,1
discourse,10
django,17
docker-registry,2
drill-hadoop,3
drill-hbase,5
dsnviewer,6
duplicati,2
easyrsa,102
edwood,3
egk-stack,1
elasticsearch,42
elk,1
elk-stack,3
etcd,186
file-server,1
filebeat,18
flannel,115
flask-test,3
flexran-rtc,2
fuse-nfs-client,1
ganglia,2
ganglia-node,2
gcp,6
gcp-integrator,4
gitea,1
glance,63
glance-simplestreams-sync,17
glance-simplestreams-sync-next,2
glance-sync-master,7
glance-sync-slave,6
gnocchi,58
gnocchi-sf00182054,1
grafana,24
graylog,15
hacluster,45
hadoop-client,5
hadoop-hbase,13
hadoop-kafka,16
hadoop-namenode,16
hadoop-plugin,16
hadoop-processing,17
hadoop-resourcemanager,16
hadoop-slave,18
hadoop-spark,11
hadoop-spark-jupyter-conda,8
haproxy,10
hbase,16
heat,50
hive,25
hue,63
hyperscale-controller,2
index-paratus,2
influxdb,10
jenkins,2
juju-controller,3
juju-introspection-proxy,1
