charmer,application
1chb1n,designate-bind
1chb1n,glance-simplestreams-sync
1chb1n,nova-compute
1chb1n,senlin
6wind,virtual-accelerator-compute
6wind,virtual-accelerator-network
admcleod,magpie
adriancampos,cinder-vnx-fc
adriancampos,cloudkitty-charm
ae40515,neutron-api-odl
afreiberger,openstack-dashboard
alai,kibana
alai,landscape
alai,landscape-server
apache-openid-charmers,apache-openid
apache2-charmers,apache2
asbalderson,noop-centos
autocert-charmers,autocert
axino,redis
axino,sentry
axino,telegraf
bigdata-charmers,hadoop-client
bigdata-charmers,hadoop-hbase
bigdata-charmers,hadoop-kafka
bigdata-charmers,hadoop-namenode
bigdata-charmers,hadoop-plugin
bigdata-charmers,hadoop-processing
bigdata-charmers,hadoop-resourcemanager
bigdata-charmers,hadoop-slave
bigdata-charmers,hadoop-spark
bigdata-charmers,hbase
bigdata-charmers,hive
bigdata-charmers,kafka
bigdata-charmers,mahout
bigdata-charmers,pig
bigdata-charmers,realtime-syslog-analytics
bigdata-charmers,spark
bigdata-charmers,spark-processing
bigdata-charmers,zeppelin
bigdata-charmers,zookeeper
boucherv29,keepalived
canonical-bootstack,filebeat
canonical-bootstack,glance-sync-master
canonical-bootstack,glance-sync-slave
canonical-bootstack,juju-controller
canonical-bootstack,juju-lxd
canonical-bootstack,landscape-server
canonical-bootstack,nrpe
canonical-bootstack,openstack-service-checks
canonical-bootstack,policy-routing
canonical-bootstack,sysconfig
canonical-solutions,serial-vault-bundle
canonical-solutions,serial-vault-selfhosted
canonical-sysadmins,ubuntu
carpalex,kibanaspirent
carpalex,twister
carpalex,vnflcv
cassandra-charmers,cassandra
cassandra-charmers,cqlsh
cassiocassio,mattermost
cassiocassio,mongodb
ce-hyperscale,scalebot-jenkins
charmers,mysql
chris.macnaughton,ceph-osd
chris.macnaughton,fuse-nfs-client
chris.macnaughton,ganglia
chris.macnaughton,ganglia-node
chris.macnaughton,gitea
chris.macnaughton,haproxy
chris.macnaughton,sysctl
chris.macnaughton,uosci-dashboard
chris.sanders,ceph
chris.sanders,ceph-fs
chris.sanders,ceph-mon
chris.sanders,ceph-osd
chris.sanders,couchpotato
chris.sanders,duplicati
chris.sanders,file-server
chris.sanders,grafana
chris.sanders,haproxy
chris.sanders,openstack-dashboard
chris.sanders,plex
chris.sanders,prometheus-ceph-exporter
chris.sanders,reverseproxy
chris.sanders,sabnzbd
chris.sanders,salt-master
chris.sanders,salt-minion
chris.sanders,sftp-server
chris.sanders,sonarr
chris.sanders,thingworx-foundation-server
chris.sanders,wireguard
cmars,kafka
cmars,tor-bridge
cmars,tor-hidden
cmars,tor-relay
containers,aws
containers,aws-integrator
containers,azure-integrator
containers,calico
containers,canal
containers,canonical-kubernetes
containers,canonical-kubernetes-canal
containers,canonical-kubernetes-elastic
containers,canonical-kubernetes-nvidia
containers,docker-registry
containers,easyrsa
containers,etcd
containers,filebeat
containers,flannel
containers,gcp
containers,gcp-integrator
containers,keepalived
containers,kubeapi-load-balancer
containers,kubernetes-calico
containers,kubernetes-core
containers,kubernetes-e2e
containers,kubernetes-master
containers,kubernetes-worker
containers,openstack-integrator
containers,topbeat
containers,vsphere-integrator
cplane-team,cplane-controller
cplane-team,cplane-msm
cplane-team,cplane-msm-oracle
cplane-team,cplane-msm-oracle-ha
